freebase_id,type,name
/m/047m_z2,award,Academy Award for Best Documentary (Short Subject)
/m/0kcn7,award,Academy Award for Best Actress
/m/0p_sc,award,"Academy Award for Best Writing, Adapted Screenplay"
/m/04dld6,award,Golden Lion
/m/016ywb,award,Academy Award for Best Costume Design
/m/0p_sc,award,Academy Award for Best Original Score
/m/0kcn7,award,Academy Award for Best Original Score
/m/0gyryjt,award,National Prize of East Germany
/m/0p_sc,award,BAFTA Award for Best Actor in a Supporting Role
/m/0kcn7,award,Academy Award for Best Film Editing
/m/0kcn7,award,Academy Award for Best Visual Effects
/m/04mhwd,award,Sitges Film Festival Best Director award
/m/02qc0j7,award,"Academy Award for Best Score, Adaptation or Treatment"
/m/016ywb,award,National Board of Review: Top Ten Films
/m/016ywb,award,Young European Film of the Year
/m/0p_sc,award,National Board of Review: Top Ten Films
/m/015wmt,award,National Board of Review: Top Ten Films
/m/016ywb,award,European Film Award for Best Actor
/m/0p_sc,award,Golden Globe Award for Best Motion Picture – Drama
/m/016ywb,award,National Board of Review Award for Best Director
/m/016ywb,award,BAFTA Award for Best Direction
/m/0p_sc,award,Golden Globe Award for Best Supporting Actor – Motion Picture
/m/0p_sc,award,BAFTA Award for Best Direction
/m/0p_sc,award,BAFTA Award for Best Editing
/m/0p_sc,award,Golden Globe Award for Best Screenplay
/m/0p_sc,nomination,Academy Award for Best Picture
/m/0kcn7,nomination,Academy Award for Best Picture
/m/02qc0j7,nomination,Academy Award for Best Picture
/m/015wmg,nomination,"Academy Award for Best Writing, Original Screenplay"
/m/04dld6,nomination,"Academy Award for Best Writing, Original Screenplay"
/m/026ccts,nomination,Academy Award for Best Costume Design
/m/026ccts,nomination,Academy Award for Best Supporting Actor
/m/026ccts,nomination,Academy Award for Best Cinematography
/m/0kcn7,nomination,Academy Award for Best Actress
/m/017n1b,nomination,Academy Award for Best Actress
/m/017n1p,nomination,Academy Award for Best Actress
/m/018qbn,nomination,Academy Award for Best Actress
/m/026ccts,nomination,Academy Award for Best Production Design
/m/026ccts,nomination,Academy Award for Best Sound
/m/026ccts,nomination,Academy Award for Best Original Musical Score
/m/047m_z2,nomination,Academy Award for Best Documentary (Short Subject)
/m/016ywb,nomination,Academy Award for Best Director
/m/0p_sc,nomination,Academy Award for Best Director
/m/0kcn7,nomination,Academy Award for Best Director
/m/04dld6,nomination,Academy Award for Best Director
/m/016ywb,nomination,Academy Award for Best Actor
/m/015wmg,nomination,Academy Award for Best Actor
/m/015wmt,nomination,Academy Award for Best Actor
/m/0p_sc,nomination,Academy Award for Best Supporting Actor
/m/04x8zs,nomination,Academy Award for Best Supporting Actor
